step,VirusA_same,VirusB_same,,VirusA_30,VirusB_30,,VirusA_60,VirusB_60,,VirusA_60,VirusB_60
156,10289,9522,,3959,14991,,5684,9888,,7555,4386
157,10451,9699,,3987,15092,,5706,10105,,7730,4557
158,10423,9821,,3964,15396,,5666,10034,,7895,4711
159,10517,9911,,4071,15558,,5764,10317,,8057,4938
160,10316,9967,,4078,15470,,5823,10280,,8018,5011
161,10507,9783,,4132,15733,,5869,10527,,8099,4808
162,10913,9657,,4082,16042,,6017,10850,,8294,4986
163,10912,9937,,3996,15816,,5997,11303,,8151,5036
164,10763,9910,,3943,16091,,6030,11344,,8109,5292
165,10746,10130,,3948,16383,,5994,11473,,8157,5494
166,10978,10287,,3762,16387,,6076,11389,,8239,5733
167,10880,10284,,3645,16294,,5881,11534,,8186,5987
168,10918,10195,,3671,16186,,5868,11824,,8325,6024
169,11058,10249,,3613,16738,,5828,12092,,8439,6063
170,10828,10524,,3571,16621,,5694,12087,,8669,6150
171,10948,10579,,3586,16243,,5633,12231,,8756,6196
172,10877,10777,,3593,16430,,5767,12206,,8726,6445
173,10851,10818,,3487,16700,,5840,12439,,8740,6167
174,10966,10967,,3526,16869,,5706,12844,,8867,6176
175,10990,11151,,3453,17097,,5706,12932,,8753,6295
176,11145,11054,,3404,17253,,5632,13365,,8787,6491
177,11092,11112,,3304,17395,,5559,13568,,8941,6551
178,11113,11228,,3208,17651,,5589,13723,,8751,6754
179,11199,11355,,3189,18232,,5529,13280,,8754,6811
180,11370,11402,,3221,18174,,5413,13498,,8856,6857
181,11515,11513,,3196,18554,,5453,13717,,8863,6976
182,11674,11365,,3115,19250,,5524,13762,,8836,7028
183,11978,11302,,3081,19154,,5482,14056,,8694,7042
184,12032,11214,,3131,19597,,5450,14171,,8675,7286
185,11992,11497,,3058,19816,,5437,14508,,8606,7439
186,12277,11285,,3101,19857,,5581,14842,,8792,7764
187,12551,11638,,3027,20336,,5420,14561,,8745,7696
188,12513,11791,,3006,20689,,5618,14532,,8470,7855
189,12496,12062,,2825,20980,,5639,14812,,8681,7830
190,12509,12338,,2840,21183,,5621,14866,,8727,8107
191,12650,12432,,2845,21355,,5621,15335,,8606,8384
192,12734,12548,,2810,21632,,5579,15360,,8656,8291
193,12620,12774,,2883,22074,,5566,15430,,8661,8176
194,12575,12611,,2818,22277,,5627,15558,,8587,8421
195,12647,12669,,2717,22377,,5557,15492,,8751,8447
196,12806,12781,,2743,22791,,5551,15472,,8691,8570
197,12846,12891,,2758,22941,,5572,15814,,8449,8731
198,13217,12887,,2715,23245,,5408,16651,,8569,8875
199,13333,12808,,2758,23413,,5076,16508,,8530,8973
200,13489,12863,,2633,23446,,5110,16584,,8568,9331
